Description	Answer
What documents and information is required to submit via CSP to properly out-process Joint Base San Antonio.	"Employee must submit the following documents through the Comptroller Services Portal:
 
 
 Base Out-Processing Checklist properly filled out with all required information.
 Employee Time And Attendance Report from ATAAPS (pulled by Timekeeper using the REPORTS link in ATAAPS after profile has been closed and time has been concurred and certified).
 
 
 Additional information if not provided on checklist:
 
 
 Type of Out-Processing and effective date of action
 Resignation (YYYYMMDD)
 Retirement (YYYYMMDD)
 Transfer: Within Agency or Outside Agency (YYYYMMDD) 
 **Note: for transfers the effective date will always be the end of the pay period."
New to 307 BW and need to apply for a GTC or have account transfered.	"The attached document contains all instructions.Register for a DTMO Passport Account
 Complete Travel Card Program 101 TrainingComplete Statement of Understanding (member and supervisor must digitally sign.)Open GTC Application Process Guide and follow instructions carefully!Complete Citibank online application https://home.cards.citidirect.com. Have DoD ID # available (back of CAC). Electronic SoU and training certificate must be uploaded to complete the application.When card arrives, call bank 1-888-514-2922 to verify receipt and set up PIN. Follow all guidance when using the GTC. Contact the APC or supervisor for questions."
My AFSC qualifies for IDT travel reimbursement, what do I need to file the voucher?	"After verifying your AFSC is qualified for IDT travel reimbursement have your orders specialist (usually CSS) create the DD 1610 travel order in AROWS-R.
 
 
 These vouchers will process through RTS. You will file a DD1351-2 travel voucher through CSP. 
 
 
 
 
 You will need to provide:
 TDY Checklist
 Completed DD1351-2 signed by claimant and reviewer (supervisor) in block 20a and d
 DD 1610 (Travel order) for dates being claimed
 DD 1351-3 (Statement of Actual Expense) (if applicable)
 Receipts (if applicable) 
 
 
 
 NOTE: 
 The reimbursement guidelines outline in the JTR should be use for IDT outside Normal Commute as any other TDY expense requirements. The expense that are claimed should not be paid just because it’s not over the max reimbursement expense of $500 without applying the reimbursement entitlements outline in the JTR.
 
 If member drive and park at the terminal. The parking expense is reimbursed up to the cost of two one-way taxi fare as stated in table 2-13 of the JTR. You can used Taxi Finder to verify taxi fare.
 
 If the reservist do not make travel arrangements with the TMC they are limited to the TR cost of what the government would have paid. 
 
 If the rental car is not authorized on the order it is treated as POV and the traveler is reimbursed mileage from terminal to duty station."
Use attached when filing for Family Separation Pay (FSA). Older forms are considered obsolete and can not be used to update this entitlement.	Use attached when filing for Family Separation Pay (FSA). Older forms are considered obsolete and can not be used to update this entitlement.
"MILITARY – 
  Q. On the Deferred Social Security repayment being extended to 12 months, will DFAS auto set up the collection rate?
  Answer: DFAS will establish the collection rate for the 12 month collection period. There will be a difference between DJMS-AC and DJMS-RC collections. Given that members paid out of DJMS-RC have intermittent duty schedules, it was not feasible to split the deferred amount by equal dollar amounts, as some members will not be on consistent duty through the collection period. Debts will be set up in both DJMS-AC and DJMS-RC to collect the deferred OASDI, with LES remarks updating the debt balance through the collection period. DJMS-AC debts created will divide the deferred collections evenly among the 24 pay periods. DJMS-RC debts created will collect at a rate of 2% of net pay (vs the 6% originally planned when the collection period was 4 months). 
   
  Q. Does the minimum $50 per month repayment in the DoD FMR factor into the repayments? 
  Answer: No, does not apply to collection of taxes. We are using debt FIDs and TINs in the pay system as a mechanism to collect the deferred tax amounts. It was the most feasible way that we could accomplish within the pay system to allow for tracking and reporting.
   
  Q. Will a member have the option to accelerate repayment if they choose? 
  Answer:  No, with the volume of members with taxes deferred, adding this option would present too much risk.
   
  Q. If a member is due to separate or retire prior to 31 Dec 2021 will they have the balance due collected prior to separation? 
  Answer: For members separating in 2020 (during the deferral period), the debts will be established as Out of Service debts and collected through our Debt & Claims Management Office. For members separating in 2021, the remainder of the uncollected deferred amount will be collected from final pay. Any residual amount will be set up as an Out of Service debt.
   
 
 
 
 
  CIVILIAN –
  Q. On the Deferred Social Security repayment being extended to 12 months, will DFAS auto set up the collection rate?
  Answer: DFAS will establish collections at the 1/24th rate of the total deferral amount in DCPS.
   
  Q. Does the minimum $50 per month repayment in the DoD FMR factor into the repayments?
  Answer: No the debt collection does not apply to those that remain employees; these are not actually debt repayments, but collection of deferred taxes. We are using the debt module in DCPS, because that is the best means of tracking, but they are not actually debts until the employee separates.
   
  Q. Will an employee have the option to accelerate repayment if they choose?
  Answer: No, employees will not have an option for repayment if they remain employees paid by DFAS. With over a million employees with taxes deferred, adding in additional options presents too great a risk.
   
  Q. If an employee is due to separate or retire prior to 31 Dec 2021 will they have the balance due collected prior to separation?
  Answer: If the employee separates for whatever reason prior to full collection PPE 12/4/21, DCPS will attempt to collect the remainder from the employee’s final pay. If unable to collect the full amount, a debt will be established.
   
  Also, DFAS will be sending out an updated SMARTDOC to employees and will be updating the DFAS.mil Tax Deferral page with the new collection
  timeframe.
 
 Forms:
 No Forms were mandated – Executive Order… not eligible to opt-out 
 
 Links:
 IRS.gov 
 OPM.gov 
 www.dfas.mil/customerservice/ 
 https://mypay.dfas.mil/#/"	Above
Sick leave options	"Yes. The employee either needs to provide their last LES (if there was no break in service) or an SF1150 (if there was a break in service). The form(s) would need to be sent to Civilian Payroll to be processed.
 
 
 Forms:
 
 
 Links:
 https://www.govinfo.gov/content/pkg/CFR-2021-title5-vol1/pdf/CFR-2021-title5-vol1-sec630-502.pdf"
Certifier hierarchy	"There are typically multiple certifiers on each roster. If someone’s supervisor is out, there should be an alternate available to take care of all timecards.
 
 
 Forms:
 
 Links:"
Advanced leave options	"The maximum amount of advanced sick leave a full-time employee may have to their credit at any one time is 240 hours (30 days) CPO is the approving authority
 Advanced Annual Leave…NTE the Amount of annual leave the employee will earn in the remainder of the current calendar year.
 
 
 Forms:
 
 
 Links:
 AFI 36-815
 Advanced Annual Leave Factsheet"
Pay opportunities	"The latest SF 50 of an employee’s career IS their “rate of pay” document. For new employees, it would be their agreed hire-on rate of pay that would be used to create their first SF-50 submitted to DFAS.
 
 
 Forms:
 Standard Form 50 (SF 50) – AFPC submits the latest SF-50 to DFAS.
 
 
 Links:
 https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/"
Sick leave opportunities	"Sick leave cannot be paid out.
 
 
 Forms:
  
 Links:"
Annual Leave access	"You can check your use or lose on a non-government computer by logging into MyPay. You will need to have a CAC reader if you do not know your user name and password.
 
 
 Forms:
 
  
 Links:
 https://mypay.dfas.mil/#/"
"Q1: What kinds of costs are included as in-kind benefits to employees during PCS government funded moves?
  A1: Please refer to the document included labeled, ""PAG Civ Employee HHG Tax Debt"" for what was taxable before TCJA 2017 and what was added under TCJA on 1 Jan 2018.
   
   
  Q2: How many civilians are impacted for the 2020 tax year?
  A2: We had 1,258 civilian PCS moves in 202 as compared to 1,800 civilian PCS moves in 2019.
   
  Q3: Have the affected employees been notified? If not, when and how?
  A3: They will be notified in December via email.
   
  Q4: Can taxes associated with HHG income be taken out of PCS travel payments when employees file the travel vouchers?
  A4: No, the PCS voucher is filed at in-processing and the HHG costs are not available at that time.
   
  Q5: Will affected employees receive end-of-year W2s that show the income and taxes paid?
  A5: Yes, affected employees will receive a travel W-2 at the end of the year that will include the increase in gross income and taxes for all PCS-related vouchers filed and HHGs. Tax year 2020 W-2s will be mailed to employees and also available through myPay by the end of January.
   
  Q6: Can civilians file RITA claims to recover the additional tax levied against them?
  A6: Yes, civilians are encouraged to file their RITA voucher after they file their annual tax return. Note: This is not a 100-percent dollar for dollar offset as each individual’s tax situation is unique.
   
  Q7: Should employees wait for their RITA claims to be resolved before beginning to pay back the Air Force?
  A7: No, suspending the repayment of the indebtedness is not an option. The employee can establish the repayment plan and make the required payments and then once the RITA voucher is settled the employee can make a lump sum payment to pay off the debt.
   
  Q8: If the Act took effect in 2017, how were civilians who PCS’d impacted during 2018 and 2019?
  A8: In 2018 and 2019, civilians who had HHG taxes due had to pay them direct to the IRS. This may have included any interest and penalties the IRS applies to debts. This new Air Force plan ensures employees are not charged interest and penalties
   
  Q9: Is there a possibility for the Air Force to cancel the debt?
  A9: No, the Air Force doesn’t have the authority to waive a tax debt.
   
  Q10: Why did the Air Force delay reporting HHG income and taxes to the IRS in 2018 and 2019?
  A10: Due to the law change taking place in December 2017, DoD did not have a way to capture the costs and report them. This was a DoD problem in 2018 and 2019.
   
  Q11: Does the OASDI deferral impact this situation?
  A11: No, the OASDI is based on an employee’s base pay for taxes, so it’s not part of the OASDI deferral act.
 
 Forms:
  
 Links:
 https://www.dfas.mil/Portals/98/Documents/Civilian%20Employees/Third_Party_Payments%20Fact%20Sheet_Feb%202020.pdf?ver=2020-03-30-080031-277
 
 https://www.dfas.mil/CivilianEmployees/civrelo/Civilian-Moving-Expenses-Tax-Deduction/"	Above
Is it required to come to Shaw Finance when it is time to leave my permanent duty station?	Members who are PCSing do not have to contact Shaw Finance prior to departure. The only personnel who require a briefing are those who are retiring or separating.
What steps must I take to inprocess with Shaw?	"All permanent party members who are physically at Shaw or McEntire will attend an in person briefing. Please use the link below to sign up for a briefing.
 
 
 https://20cpts.setmore.com/bookclass
 
 
 Geographically Separated Units (GSUs) will inprocess through CSP."
An authorized expense was not reimbursed on a travel voucher.	"For previously claimed expenses:Submit a CSP ticket requesting a supplemental payment.The ticket description should contain:Unpaid expenseOrder number (Block 22 on DD1610, Block 32 on DD938)Split disbursement amount (if applicable)ex. ""I was not reimbursed for an authorized rental car on my voucher. The order number was D97178. My GTC has a balance of $800, please send that amount to the card.""If expense was not claimed due to missing backup documentation, please provide receipts.For Previously unclaimed expenses:Submit a CSP ticket requesting a supplemental payment.The ticket description should contain:Unpaid expenseOrder number (Block 22 on DD1610, Block 32 on DD938)Split disbursement amount (if applicable)ex. ""I was not reimbursed for an unclaimed parking expense on my voucher. The order number was D97178. My GTC has a balance of $80, please send that amount to the card.""File a new 1351-2 claiming all expenses even if they were previously reimbursed.Provide ALL required receiptsPer AFFSC Buisiness rules:A supplemental voucher resulting from unclaimed expenses requires:- New DD Form 1351-2, signed and dated by the member and the supervisor. The approving official signature is also required for after-the-fact expense approvals.- Receipts pertaining to supplemental- Any other auditable documents required to support the claim- TDY orders (front and back and amendments)"
DSG In-processing from another Air National Guard unit.	A guard-to-guard transfer requires the member to fill out the attached in-processing packet. Also, please attach a copy of a bank check (or screen shot of banking details that include checking and routing numbers) to verify your banking details. In addition, if you are married you will need to provide a copy of your marriage certificate, and if you have dependents but not married you will need to provide a birth certificate of your youngest child. This is needed to verify your BAH rate that you will qualify for (either no dependents or with dependents).
Payback for Military Time	"Buy back military time. Work with personnel to fill out paperwork. 
 
 
 Forms:
 Military Deposit Worksheet OPM Form 1514
 Military Service Deposit Election OPM Form 1515
 SF1150
 
 
 Links: 
 https://safe.menlosecurity.com/doc/docview/viewer/docNB2A556E73B2385ece56bfe0788fd19f8b24468d7d9599315ff72fe64d38f6d72870b6c33928a
 
 https://wss.apan.org/public/DFASPayroll/Knowledge%20Tree/Military%20Service%20Deposits.aspx"
Taxes State/Federal changes	"All adjustments can be made in MyPay
 
 
 Forms:
 
 
 Links: 
 https://mypay.dfas.mil/"
DTS – Student Dependent Travel	"A Student may only receive a transportation allowance under an Invitational Travel Allowance.
 
 
 Forms: 
 DD Form 1351-2
 
 
 Links: 
 https://www.defensetravel.dod.mil/Docs/Dependent_Travel_Information_Paper.pdf"
DTS – LOA Assistance	"Squadron RAs and FDTAs will provide LOA for travelers to use.
 
 
 Forms:
 
 Links: 
 Creating New LOA: https://www.defensetravel.dod.mil/Docs/Establish_LOAs_for_the_New_Year.pdf"
The member account has been locked for any reason and they have not set-up their security questions for self un-locking.	"If creating an inquiry to unlock your AROWS account, select the ""Travel Pay"" category and the ""Other"" sub category. Make sure to include the words AROWS Unlock in the title. We will also need the last 5 digits of your social security number somewhere in your inquiry."
I am currently deployed and need to file and interim voucher to pay for lodging and airfare prior to arriving at my deployed location.	"You will need to provide:
 TDY Checklist
 Completed DD1351-2 signed by claimant in block 20a
 AF Form 938 (activation orders)
 CED orders
 Signed direct deposit form
 Receipts"
The regulation has changed on this subject. Prior to the DAFMAN 65-601 being established, chapter 10 of AFI 65 601 allowed for commanders, chiefs or first sergeants to attend PME graduation ceremonies in a funded TDY status. AFI 65-601 was rewritten and scaled down and was replaced with the DAFMAN 65-601. Chapters 5 and 11 of DAFMAN 65-601 provides guidance on funded TDY travel. PME graduation ceremonies (or any formal training graduations) are no longer among the ceremonies that members may travel in a funded TDY status. The authorization to attend in a permissive TDY status (unfunded) may still exist in the 36-3003, but this category of travel is no longer funded.	BLUF: Funded travel to graduation ceremonies are no longer authorized
"BACKGROUND: During the FSO Worldwide FM Training Workshop, it was brought up that many of the Rental Car companies are charging an “Age Fee” upon rental of the vehicle. This fee could be shown and included on the rental car receipt.
 
 
 DTMO requests that any traveler who is incorrectly charged this age fee submit a request for assistance and supporting documentation through the Rental Vehicle Assistance. To submit a request for assistance, a traveler should click “Report an Accident” on the right side of this page:https://www.defensetravel.dod.mil/site/rentalCar.cfm. DTMO is also working to revise the language on this page to make it clearer that the Rental Vehicle Assistance Tool can also be used to correct vendor overcharges such as the kind you identified. Please ensure to include the TANUM and copy of the legible rental car receipt, not the agreement form provided by the rental car company."	BLUF: Any vendor location that participates in the U.S. Government Rental Car Program should not charge DOD travelers a young driver fee, an underage fee, or any other fee for authorized drivers as dictated by the U.S. Government Rental Car Agreement.
Are Service Members and Civilian Employees exempt from hotel or occupancy taxes?	Several states and cities have exempted Service members and civilian employees from paying a hotel occupancy tax when certain requirements are met. For more information and a list of locations offering tax exemptions, please visit theGSA website or access the GSA list from the DTMO website by clicking on State Tax Exemption Listings.
Can I pull out cash from an ATM while TDY?	"DoDI 5154.31V4:
 
 
 Travelers may use their travel card at ATMs to obtain cash needed to pay for “out-of-pocket” travel related expenses. Valid “out-of-pocket” travel related expenses are those that cannot be charged on the travel card (see section 040603 for examples).
 
 
 Expenses, including meals, incurred at a vendor that does not accept the travel card, such as government dining facilities, coin-operated parking meters, toll booths, laundry facilities, official local and long distance phone calls, etc. are exempt from the mandatory use of the travel card (IBA). However, since cardholders are required to use the travel card for all official travel related expenses, they should withdraw cash from an ATM to pay for these expenses, where practicable."
If I was TDY and lodged on base in Gov’t Qtrs, on orders, for under 30 days and have to E-certify, do I mark “in Gov’t Qtrs” on the E-certification?	No. You are not considered in “Gov’t Qtrs” when TDY. Always mark “NOT in Gov’t Qtrs” to ensure your BAH is paid correctly.
What is the standard processing procedures for service members when dealing with 988's Leave Charge Forms?	"Prior to taking your leave, you will first fill out the 988 Part 1, which will be signed by yourself and your supervisor. This must be turned into the CPTF to acquire a Leave Authorization Number prior to the start of your leave.
 
 
 When you return from leave, you will complete the 988 Part 3, which will annotate if no or any changes will be made to the original Part 1 request. Once signed by yourself and your supervisor, this will be turned into the CPTF who will take the Part 1 and Part 3 combined to finally charge your account the proper leave taken. 
 
 
 The Part 2 is for your own personal records to keep track of leave used in case there is a lag in the system or if your leave charge has been delayed."
How much time do I have as the Service Member to sign and submit my DTS voucher when I return from my TDY?	"You have 5 days from the time you return from your trip to submit your travel voucher. If you do not signed your voucher within 5 days, you will show up on a report that is worked monthly. These reports are then sent to the supervisor and leadership distro email inboxes for follow up and to take action as needed. 
 
 
 
 
 Reference:
 DoDFMR 7000.14-R Volume 9:
 4.5.1. General. When a travel advance is authorized, it must be monitored to ensure that a corresponding travel claim is filed within 5 working days of the traveler’s return to or arrival at the permanent duty station (PDS), or immediately when the orders are canceled. Travelers whose TDY extends beyond 30 days may file travel claims within 5 working days after the end of every 30 calendar day period or travel accrual payments may be provided in accordance with service-specific regulations.
 
 
 4.5.2.2. Other Travelers. Each DoD Component must ensure that it has a process to monitor travelers’ advances. Issue a letter advising travelers of his or her responsibility to submit travel claims and/or repay advances. On the 46th day after the traveler’s estimated date of return/arrival, if no response to the letter has been received, then collect from the traveler’s pay account."
What is the standard AROWS E-Certification process?	"There are a few processes for e-certification:
 - For Short Tours (29 days or less), the service member will log into AROWS and sign the statement of duty on or after the last day of the order. 
 
 
 - For Long Tours (30 days or more) excluding BMT/NPS TTS/NPS MEST & Permanent AGR, the service member will sign the statement of duty on or after the first day of the order which will start the payment process.
 
 
 - For Long Tours for BMT, NPS TTS, and NPS MEST, e-certification is not required as most NPS members do not have access to the system or do not have a CAC to sign in and e-certify their orders for pay. The CPTF will continue to track these orders and we will work with BETM consistently to have Start Tour paperwork filled out; we will then process pay manually for the members. 
 
 
 - For Permanent AGR Orders, there is no e-certification allowed as these orders are processed in a different system entirely and manually gained and worked by the CPTF."
ATAAPS Certifier	"ATAAPS Certifier
  
 1. Request access in FAMS, once completed submit the DAO101 , CFI 100, FOB 105 certificates and the Form 577 (generated in FAMS)
 o Request Appointment -> Departmental Accountable Official -> Time and Attendance Certifier -> Complete Training -> Request Appointment (Lt Kyle Ames)
 2. Complete 20.01 Certifier Training for ATAAPS (attachment located below)
 o Sign/date and PDF the second to final page of the slide and submit with inquiry 
 
 
 
 FAMS URLhttps://fams.cce.af.mil on Chrome Browser
 How to initiate a 577 request:https://fams.cce.af.mil/pub/content/saffm/en/help/support/articles/Initiate-an-Appointment.html
 
 
 How to access DAO 101 training:https://fams.cce.af.mil/pub/content/saffm/en/help/support/articles/AppoinTNTermination0.html"
What is a valid receipt for a voucher?	"Valid receipts are required for airfare, lodging and expenses of $75 or more. DTMO has provided some helpful information to help travelers understand what constitutes a valid receipt. Paid TDY vouchers with invalid receipts are being flagged by DFAS stating invalid receipts were submitted under expenses in DTS. These instances must be corrected. As a reminder, GTCC statements, flight itineraries, rental car reservation invoices and hotel reservations are not valid receipts.
 Travelers are advised to retain ALL receipts for tax or other purposes. DoD Financial Management Regulation, Vol 9, “Travel Policy,” requires an itemized receipt for each lodging expense, regardless of the amount, and any individual expenditure of $75 or more."
I am currently on an order that is greater than 45 days, what do i need to file to have my GTC balance paid?	"If your order is in DTS:
 Amend your DTS authorization
 Verify the itinerary reflects the entire TDY length
 Add authorized expenses
 Adjust per-diem to reflect correct entitlements
 on the accounting screen click the ""schedule partial payments"" button
 Sign the authorization
 NOTE:
 Ensure that all expenses are accurate any overpayment will result in a travel debt when the final voucher is filed.
 
 
 If your voucher is through RTS (Paper)
 Create a new inquiry in CSP
 You will need to provide:
 TDY Checklist
 Completed DD1351-2 signed by claimant in block 20a
 AF Form 938 (activation orders)
 Signed direct deposit form (IF YOU HAVEN'T FILED A PAPER VOUCHER IN 12 MONTHS)
 Receipts"
Orders are often modified to extend or curtail tour dates. When orders are modified, they do NOT automatically flow into the military pay system. Order modifications must be submitted to the Comptroller Flight for payment to be processed.	Submit your order modification via CSP for payment to be processed.
My dependency status has changed, I would like to have it corrected to reflect the correct rate.	"Everyone: Fill out an AF Form 594, lines 1-9, to include a signature and date on the bottom of the form. Please also ensure to include all of your dependents in block 8. 
 
 
 
 
 Married: Include a valid copy of your marriage certificate, not marriage license. 
 
 
 Divorced: A copy of your divorce decree.
 
 
 Child: A copy of the child's birth certificate. 
 
 
 A child born through marriage and you are now divorced attempting to claim your child: Divorce decree stating that you are paying child support with the amount, or showing that you have primary custody."
I just finished a 31 day order and have 2.5 days left on my record. I would like to sell it back.	Please fill out Part I, Identification Data. ETS / DOS can be left blank. Please fill out Part IV to include the order number, when the order ends, as well as checkbox A, the amount of days to be sold. Lastly, please sign and date in Part V
Short tours (30 days or less) qualify for BAH II. Long tours (31 days or more) qualify for BAH I. EXCEPTION: Contingency orders qualify for BAH I regardless of order duration.	Submit your affected LES and military orders via CSP for payment to be reviewed.
Family Separation Allowance is an entitlement payable to members TDY and separated from their dependents for over 30 days. FSA is payable at $250 per month, prorated to the day.	Submit a DD1561 and applicable DTS document (authorization or voucher) via CSP for payment to be processed.
Regularly scheduled drills (RSD), rescheduled drills (RD), additional flight training periods (AFTP), etc, are all inactive duty training (IDT). RSD pay is issued after a unit’s drill roster fully routes for signature. All other IDT must be e-certified on AROWS.	Contact your CSS or submit ANG105S via CSP for payment to be processed.
The Statement of Duty for all active duty orders must be e-certified on AROWS to initiate payment.	Access AROWS and e-certify your Statement of Duty. NOTE: Temporary AGR orders are unable to be e-certified on AROWS and must be submitted via CSP. AROWS Link
Short tours (30 days or less) can only be signed on or after the last day of the orders. Long tours (31 days or more) can be signed on or after the first day of the orders. EXCEPTION: 30 day orders can be signed on or after the first day of the orders.	Access AROWS on or after the day your Statement of Duty generates (see description). NOTE: Temporary AGR orders are unable to be e-certified on AROWS and must be submitted via CSP. AROWS Link
For both initial access and locked myPay profiles, members must meet with a myPay Trusted Agent to be issued a temporary username and password.	Request to schedule an in-person appointment with a myPay Trusted Agent via CSP.
W2s are generated on myPay in January or February of the following tax year. Your FSO does not have access to your W2.	W2s can be accessed via myPay. MyPay Link
All out-processors must meet with their finance unit for and out-processing brief, submit a copy of military orders, and complete travel authorization (if applicable).	Schedule an appointment via CSP to meet with a Financial Management Technician.
Debt collection actions are suspended three months to provide affected members due process. During this time, members may inquire about and contest the debts validity. Debts will automatically collect after the suspension period ends.	Debts automatically collect at 2/3rds of taxable earnings after the due process period. To adjust the collection rate, contact your FSO via CSP.
myPay offers self-service actions that allow members to update their military pay information.	Access myPay to adjust your military pay information. MyPay Link
Members can opt into the Family Servicemember’s Group Life Insurance for their dependents on MilConnect. It is an additional life insurance premium members can elect into, to provide compensation for the death of a dependent. MilConnect sometimes does not automatically initiate collection. When this occurs, your FSO must submit a CMS case on your behalf.	Submit a copy of your SOES (coverage certificate from MilConnect) via CSP for a CMS case to be created on your behalf.
The HARM office submits Aeronautical Orders (AO) for aircrew members who qualify for flight pay.	Contact HARM office to inquire about AO case status.
Members built into the active duty pay system may initiate allotment on myPay. DSG members cannot establish allotments due to the irregularity of their payments.	Qualifying members can access myPay to initiate allotments (see description).
Card keeps declining	Contact your Resource Advisor to verify it their enough funds on the card. If there aren't the Resource will need to submit a AF Form 4009 in DEAMS. If there is enough money and it is still declining, submit a ticket to Accounting.
Understanding the difference between a Travel Authorization & Travel Voucher.	"An Authorization captures information regarding an upcoming TDY (locations, cost-estimates, travel information). Is a mean of informing everyone who needs to know the When, Where, and How’s of your trip. Authorizations should be build and fully approved prior to trip’s start date.
 Completing an Authorization Step by Step
 
 
 
 A Voucher is a claim for reimbursement of actual expenses you incurred and payment of allowances you earned while you were TDY. You will not be able to create a voucher on DTS without a fully approved Authorization.
 Completing a Voucher Step by Step"
LOAs will vary depending on the type of travel being performed.	Travelers should first check with the squadron’s ODTA before contacting Finance for DTS assistance.
Cross orgs are used when a member goes TDY for another unit who will pay for the travel.	The member must provide their SSN to their POC at the other unit. Only the owning unit can cross a member into their LOA.
When triggered on an authorization/voucher the DTS Constructed Travel pre-audit indicates that a constructed travel worksheet (CTW) may be required.	"A CTW is required when the traveler chooses a mode of transportation that differs from the standard. A CTW is not required if your trip meets one of the following conditions:
 1. You will use the transportation mode the AO will authorize or direct on every travel leg. The AO will
 Usually authorize or direct you to use commercial air, unless a local policy dictates otherwise.
 2. You will use your privately owned vehicle (POV) – automobile or motorcycle only – for every travel
 Leg that is 400 or fewer miles, per the Defense Table of Official Distance (DTOD).
 3. Government transportation is authorized or directed.
 CTW Worksheets"
Using another unit’s days in AROWS.	The other unit will not send their days to the 105th. The CSS will use the dropdown menu in AROWS when selecting days to choose the other unit’s resources. Contact FSS for specific guidance on creating orders in AROWS.
A member is on MPA days and will need to use MAJCOM travel funds.	If the MAJCOM is ACC or AMC, the first step is for the RA to submit the MAJCOM request form. The form is submitted to the budget office who will submit it to the MAJCOM for funding. The CSS will file the M4s in the M4’s folder: \\RSDQ-FS-001V\wing\Wing\Shared_Data\RA Budget Info\07 M4S Documents DO NOT DELETE. Once the funding is received, the LOA will be created and provided to the member. If the MAJCOM is not ACC or AMC, the member will receive the cross org from the MAJCOM providing the MPA days. The member will need to contact their POC at the MAJCOM and the CSS will file the M4s in the M4s folder.
The member is going on a TWCF mission and requires the TWCF LOA in DTS.	The CSS will file the M4s in the folder: \\RSDQ-FS-001V\wing\Wing\Shared_Data\RA Budget Info\07 M4S Documents DO NOT DELETE.  Once the M4s is filed, the CSS will send notification to the Budget Office via CSP that the M4s is filed and list the members needing the cross org.
A member needs access to a 105th LOA in DTS that is not under their own squadron.	The RA of the squadron will contact the Budget Office via CSP and provide the member’s SSN and name of the LOA needed.
The RA is approving authorizations/vouchers in DTS and needs to transfer funds between lines for the transaction to go through.	The RA will send a request to the Budget Office via CSP and state the amount to move from and to and the names of the LOA’s being affected.
Newly appointed RAs need to receive training from the budget office.	The RA will use the following link to request a date/time with the budget officer:Sign-Up Genius Link
A member’s DTS authorization/voucher was approved, but subsequently received an error code.	Notify the Budget Office via CSP with the name of the error, the order TANUM, travel dates, member’s name. The Budget Office will research the error code and submit a helpdesk ticket if needed.
The RA needs to make a supply purchase in ILS.	The RA will contact the Budget Office via CSP and state their RCCC, ILS ORG/PFMR numbers, amount of the budget load needed. If the RA does not have funds loaded to their legacy LOA, they will need to state that they need to also transfer funds from DEAMS to Legacy.
A squadron does not have enough AT days for projected training events and is requesting additional AT days/dollars.	The first step is for the squadron RA to contact the Group RA to request Group resources be re-distributed to the squadron in need. If the Group RA is able to complete the request with available Group resources, the Group RA will send a request to the Budget Office via CSP to transfer resources.
The RA has a member who has already completed 30 days of AT and needs additional training days.	The RA will complete the ST TV request form found in CSP and submit it to the Budget Office via CSP.
A member needs to come in for at least 4 hours of training outside of the RSD.	The RA will completed the IAD worksheet and submit it to the Budget Office via CSP. If the member does not have any RDs to complete, the Budget Office will load the ATP/RMP periods to the squadron’s AROWS line. If the member has not completed all RSDs, the RA will be notified to have the member complete all RSD periods before requesting additional IAD.
The RA is confused about the number of AT days received.	NGB does not send the unit 15 days of AT per DSG/DST. The unit must provide each member with 15 active military days which can be AGR, Temp AGR, AT, ST, School, MEST, BMT, ADOS, or MPA. It is the responsibility of the RA and CCMs to ensure that each member is afforded 15 active military days before other members receive additional active military days.
The RA has a possible mixing of appropriations concern.	If the situation falls into one of the exception to policy in AFMAN 65-01 the MAJCOM program manager can allow the member to remain on their days and use the squadron’s O&M TDY LOA in DTS.
The RA lacks one type of AT day but has plenty of another and wants to convert them.	No, we cannot convert officer/enlisted days locally. The first step is to see if another squadron within your Group can trade days with you. If not, the RA will send a request to the Budget Office for a conversion with NGB.
The CSS is not able to complete their RSD roster.	AROWS is an A1/FSS system. You must contact FSS for assistance with AROWS.
The RA needs UFR guidance.	Yes, you must obtain signatures from each area listed.
The RA needs UFR guidance.	No, you do not need to complete the UFR package for MILPERS resources. Submit your request for days/dollars to the Budget Office via CSP. Include a brief description/justification/mission impact along with need by date.
The RA has an issue with resources.	No, you cannot mix AT travel funds with special training dollars. Your type of days and WUC code must match to the type of dollars and ESP code.
Updating electronic funds transfer (EFT) information on DTS profile after a voucher has been submitted.	"Updating your personal EFT information on your DTS profile after a voucher has been fully processed will not change the information on the voucher. Your voucher will receive an “EFT RETURNED’ status or the funds will still be associated with your old account.
 In order to correct this you’ll have to update the information within the voucher by following the following steps: How to correct EFT Returns"
The Civilian pay technicians are able to gain new technicians into the pay system at base level as soon as HQ gains the new technicians at State level. This typically happens the second Wednesday of the pay period.	Typically, you will be paid within the same pay period you started. However, sometimes a new technician may be paid the second pay period after they started. If this is the case, you will be retro paid everything you were entitled to from the first pay period.
The TSP is a defined contribution plan, meaning that the retirement income you receive from your TSP account will depend on how much you (and your agency or service if you’re eligible to receive agency or service contributions) put into your account during your working years and your earnings over that period of time.	You can set up your TSP contributions on the TSP website at https://www.tsp.gov/
Technicians may be entitled to holiday pay, however; the technician is required to be in a pay status on their scheduled workdays either before or after a holiday.	Technicians are entitled to federal holiday pay on approved Federal Holidays. For ATAAPS purposes Holidays should be coded Holiday Leave (LH) hours. For hours in which a technician worked timecards should be coded one of the following HE, HF, HG, HS, or HT, but not HC.
