Description	Answer
For both initial access and locked myPay profiles, members must meet with a myPay Trusted Agent to be issued a temporary username and password.	Request to schedule an in-person appointment with a myPay Trusted Agent via CSP.
W2s are generated on myPay in January or February of the following tax year. Your FSO does not have access to your W2.	W2s can be accessed via myPay. MyPay Link
All out-processors must meet with their finance unit for and out-processing brief, submit a copy of military orders, and complete travel authorization (if applicable).	Schedule an appointment via CSP to meet with a Financial Management Technician.
Debt collection actions are suspended three months to provide affected members due process. During this time, members may inquire about and contest the debts validity. Debts will automatically collect after the suspension period ends.	Debts automatically collect at 2/3rds of taxable earnings after the due process period. To adjust the collection rate, contact your FSO via CSP.
myPay offers self-service actions that allow members to update their military pay information.	Access myPay to adjust your military pay information. MyPay Link
Members can opt into the Family Servicemember’s Group Life Insurance for their dependents on MilConnect. It is an additional life insurance premium members can elect into, to provide compensation for the death of a dependent. MilConnect sometimes does not automatically initiate collection. When this occurs, your FSO must submit a CMS case on your behalf.	Submit a copy of your SOES (coverage certificate from MilConnect) via CSP for a CMS case to be created on your behalf.
The HARM office submits Aeronautical Orders (AO) for aircrew members who qualify for flight pay.	Contact HARM office to inquire about AO case status.
Members built into the active duty pay system may initiate allotment on myPay. DSG members cannot establish allotments due to the irregularity of their payments.	Qualifying members can access myPay to initiate allotments (see description).
Card keeps declining	Contact your Resource Advisor to verify it their enough funds on the card. If there aren't the Resource will need to submit a AF Form 4009 in DEAMS. If there is enough money and it is still declining, submit a ticket to Accounting.
Understanding the difference between a Travel Authorization & Travel Voucher.	"An Authorization captures information regarding an upcoming TDY (locations, cost-estimates, travel information). Is a mean of informing everyone who needs to know the When, Where, and How’s of your trip. Authorizations should be build and fully approved prior to trip’s start date.
 Completing an Authorization Step by Step
 
 
 
 A Voucher is a claim for reimbursement of actual expenses you incurred and payment of allowances you earned while you were TDY. You will not be able to create a voucher on DTS without a fully approved Authorization.
 Completing a Voucher Step by Step"
LOAs will vary depending on the type of travel being performed.	Travelers should first check with the squadron’s ODTA before contacting Finance for DTS assistance.
Cross orgs are used when a member goes TDY for another unit who will pay for the travel.	The member must provide their SSN to their POC at the other unit. Only the owning unit can cross a member into their LOA.
When triggered on an authorization/voucher the DTS Constructed Travel pre-audit indicates that a constructed travel worksheet (CTW) may be required.	"A CTW is required when the traveler chooses a mode of transportation that differs from the standard. A CTW is not required if your trip meets one of the following conditions:
 1. You will use the transportation mode the AO will authorize or direct on every travel leg. The AO will
 Usually authorize or direct you to use commercial air, unless a local policy dictates otherwise.
 2. You will use your privately owned vehicle (POV) – automobile or motorcycle only – for every travel
 Leg that is 400 or fewer miles, per the Defense Table of Official Distance (DTOD).
 3. Government transportation is authorized or directed.
 CTW Worksheets"
Using another unit’s days in AROWS.	The other unit will not send their days to the 105th. The CSS will use the dropdown menu in AROWS when selecting days to choose the other unit’s resources. Contact FSS for specific guidance on creating orders in AROWS.
A member is on MPA days and will need to use MAJCOM travel funds.	If the MAJCOM is ACC or AMC, the first step is for the RA to submit the MAJCOM request form. The form is submitted to the budget office who will submit it to the MAJCOM for funding. The CSS will file the M4s in the M4’s folder: \\RSDQ-FS-001V\wing\Wing\Shared_Data\RA Budget Info\07 M4S Documents DO NOT DELETE. Once the funding is received, the LOA will be created and provided to the member. If the MAJCOM is not ACC or AMC, the member will receive the cross org from the MAJCOM providing the MPA days. The member will need to contact their POC at the MAJCOM and the CSS will file the M4s in the M4s folder.
The member is going on a TWCF mission and requires the TWCF LOA in DTS.	The CSS will file the M4s in the folder: \\RSDQ-FS-001V\wing\Wing\Shared_Data\RA Budget Info\07 M4S Documents DO NOT DELETE.  Once the M4s is filed, the CSS will send notification to the Budget Office via CSP that the M4s is filed and list the members needing the cross org.
A member needs access to a 105th LOA in DTS that is not under their own squadron.	The RA of the squadron will contact the Budget Office via CSP and provide the member’s SSN and name of the LOA needed.
The RA is approving authorizations/vouchers in DTS and needs to transfer funds between lines for the transaction to go through.	The RA will send a request to the Budget Office via CSP and state the amount to move from and to and the names of the LOA’s being affected.
Newly appointed RAs need to receive training from the budget office.	The RA will use the following link to request a date/time with the budget officer:Sign-Up Genius Link
A member’s DTS authorization/voucher was approved, but subsequently received an error code.	Notify the Budget Office via CSP with the name of the error, the order TANUM, travel dates, member’s name. The Budget Office will research the error code and submit a helpdesk ticket if needed.
The RA needs to make a supply purchase in ILS.	The RA will contact the Budget Office via CSP and state their RCCC, ILS ORG/PFMR numbers, amount of the budget load needed. If the RA does not have funds loaded to their legacy LOA, they will need to state that they need to also transfer funds from DEAMS to Legacy.
A squadron does not have enough AT days for projected training events and is requesting additional AT days/dollars.	The first step is for the squadron RA to contact the Group RA to request Group resources be re-distributed to the squadron in need. If the Group RA is able to complete the request with available Group resources, the Group RA will send a request to the Budget Office via CSP to transfer resources.
The RA has a member who has already completed 30 days of AT and needs additional training days.	The RA will complete the ST TV request form found in CSP and submit it to the Budget Office via CSP.
A member needs to come in for at least 4 hours of training outside of the RSD.	The RA will completed the IAD worksheet and submit it to the Budget Office via CSP. If the member does not have any RDs to complete, the Budget Office will load the ATP/RMP periods to the squadron’s AROWS line. If the member has not completed all RSDs, the RA will be notified to have the member complete all RSD periods before requesting additional IAD.
The RA is confused about the number of AT days received.	NGB does not send the unit 15 days of AT per DSG/DST. The unit must provide each member with 15 active military days which can be AGR, Temp AGR, AT, ST, School, MEST, BMT, ADOS, or MPA. It is the responsibility of the RA and CCMs to ensure that each member is afforded 15 active military days before other members receive additional active military days.
The RA has a possible mixing of appropriations concern.	If the situation falls into one of the exception to policy in AFMAN 65-01 the MAJCOM program manager can allow the member to remain on their days and use the squadron’s O&M TDY LOA in DTS.
The RA lacks one type of AT day but has plenty of another and wants to convert them.	No, we cannot convert officer/enlisted days locally. The first step is to see if another squadron within your Group can trade days with you. If not, the RA will send a request to the Budget Office for a conversion with NGB.
The CSS is not able to complete their RSD roster.	AROWS is an A1/FSS system. You must contact FSS for assistance with AROWS.
The RA needs UFR guidance.	Yes, you must obtain signatures from each area listed.
The RA needs UFR guidance.	No, you do not need to complete the UFR package for MILPERS resources. Submit your request for days/dollars to the Budget Office via CSP. Include a brief description/justification/mission impact along with need by date.
The RA has an issue with resources.	No, you cannot mix AT travel funds with special training dollars. Your type of days and WUC code must match to the type of dollars and ESP code.
Updating electronic funds transfer (EFT) information on DTS profile after a voucher has been submitted.	"Updating your personal EFT information on your DTS profile after a voucher has been fully processed will not change the information on the voucher. Your voucher will receive an “EFT RETURNED’ status or the funds will still be associated with your old account.
 In order to correct this you’ll have to update the information within the voucher by following the following steps: How to correct EFT Returns"
The Civilian pay technicians are able to gain new technicians into the pay system at base level as soon as HQ gains the new technicians at State level. This typically happens the second Wednesday of the pay period.	Typically, you will be paid within the same pay period you started. However, sometimes a new technician may be paid the second pay period after they started. If this is the case, you will be retro paid everything you were entitled to from the first pay period.
The TSP is a defined contribution plan, meaning that the retirement income you receive from your TSP account will depend on how much you (and your agency or service if you’re eligible to receive agency or service contributions) put into your account during your working years and your earnings over that period of time.	You can set up your TSP contributions on the TSP website at https://www.tsp.gov/
Technicians may be entitled to holiday pay, however; the technician is required to be in a pay status on their scheduled workdays either before or after a holiday.	Technicians are entitled to federal holiday pay on approved Federal Holidays. For ATAAPS purposes Holidays should be coded Holiday Leave (LH) hours. For hours in which a technician worked timecards should be coded one of the following HE, HF, HG, HS, or HT, but not HC.
Technicians performing military duty must be in a leave status from the technician program.	"Permanent technicians, and temporary technicians over 90 days are entitled to Military leave (LM) otherwise timecards should be coded Military Furlough (KG), LWOP -Leave without pay (KA), or other paid leave status.
 
 
 
 *It is important technicians are mindful of their timecards status while performing military duties. Receiving compensation in a paid status (i.e. RG, RF, RS, etc) is considered a dual compensation condition which is NOT authorized and could result in a debt."
Compensatory Time is time earned that can be used for hours paid at a later time.	"Yes, with supervisor approval, technicians are authorized compensatory time for hours worked in addition to their scheduled hours. Use code CE in ATAAPS.
 
 
 
 * Compensatory time must be used within one year from the date earned (26 pay periods) or the technician will forfeit it!"
Timecards can be entered in ATAAPS by the member and/or the Timekeeper.	Ultimately the member is responsible for ensuring their timecards are entered in ATAAPS prior to the close of the pay period. Timekeepers are available for assistance with time inputs and can answer your questions regarding type codes. In a member's absence, the Timekeepers may also complete them in ATAAPS.
Technicians accrue various types of leave over the course of their employment. However, only certain leave balances carryover when a technician transfers or comes back to the technician program.	You need to inform the Base CSR upon check in that you previously held a technician position. They will perform the steps of requesting your previous leave balances from DFAS to have them pulled over to your current record.
Technicians are authorized leave for birth events, adoptions and fostering under the FMLA.	Requests for eligibility approval must go through HRO. Please contact FSS to start the process. Once approved, the HRO will forward these documents to the CSR who will input the leave to your record.
Each base has a central coordinator for Civilian Pay matters.	The Base CSR (Customer Service Representative) is the first stop for questions and information relating specifically to your pay. Administrative questions should be directed to the FSS/HRO.
Completed RTS Voucher	"1. All docs must be in ONE PDF, not Portfolio
 
 2. A complete set of your orders, including mods, must be provided
 3. Certified orders are required for final/supplemental vouchers
 4. All pages of the DD Form 1351-2/1351-2C must be included
 5. All receipts as required
 6. Any approved leave taken during long tours (orders 31 days or over); at minimum, leave must be accounted for in the remarks section
 *Any incomplete vouchers will not be processed
 *Do not send duplicates"
When I attach PDF copy of AROWS orders I get error.	"Best way to attach clear PDF of AROWS order is to the the Print function then select ""Microsoft Print to PDF"", then attach file. Alternate method would be to print then use scanner to create copy."
An Organizational Defense Travel Administrator (ODTA) is the Squadron level manager for DTS processing. Your ODTA is the first person you should contact to get assistance for inputting and processing DTS authorizations and vouchers.	A listing of the ODTAs for the 119 Wing is on the Travel SharePoint.
A myPay Profile is required for all Military Members to gain access to important financial data such as their LES, Tax documents, Travel Voucher Advice of Payment, & personal information updates that are pay effecting changes.	"Once a new member has returned from Technical School and the Communications Squadron has created their email they can navigate to the myPay website utilizing the link under ""Quick Links"". Once the member is on the website they will look to the right scroll down to ""New User"" and select the blue button labeled ""Create your myPay Profile"" then follow the prompts."
Below is a breakdown of entitlements based on the number of days certified on AROWS order.	"29 days or less (Base Pay, BAS, BAH II) certified for pay on last day of order
 30 day order ONLY (Base Pay, BAS, BAH II) certified for pay on first day of order member will receive pay at 15 day point
 31 day order or more (Base Pay, BAS, BAH I) certified for pay on first day
 *Members on AT orders can add (1) round-trip mileage claim via AROWS upon e-certification for pay
 Orders 179 or less – members are paid BAH using HOR zip code
 Orders 180 or more – members are paid BAH using PDS zip code BAH"
myPay is an innovative, automated system that puts you in control of processing certain discretionary pay data items without using paper forms. You can also get your pay and tax statements, and travel advice of payment using myPay.	Visit myPay, under Pay Changes select direct deposit link.
You received a new GTC because your current one is about to expire.	"Login to DTS: https://dtsproweb.defensetravel.osd.mil/dts-app/pubsite/all/view/In the upper right corner of the screen, click on your name and then select ""My Profile""On the new window, under the ""Accounting"" header, select ""EFT and Credit Card Accounts""Update your information as necessary and click the ""Save' button at the bottom of the window."
Follow instructions below after logging into AROWS https://arows.sscno.nmci.navy.mil/arows/secure/login.jsp	From the home page, click the drop-down menu at the top left and select “Member”.On the left-hand side, navigate to “Statement of Duty” à “Create”Scroll through each screen, selecting the applicable dependent housing and dependent status. Make sure to select “member was not assigned government housing/government dorms” to ensure that BAH I/BAH II is paid. Otherwise, the member will receive BAH Partial.
Example: I want to change my State of Legal Residence from TX to MA. Complete DD 2058 and send to Finance via CSP.	Complete DD Form 2058 and submit CSP Inquiry with DD Form 2058 completely filled out.
Upon submission of my Marriage Certificate did it update mypay record	No your marriage certificate does not flow to the pay system. In order to receive your new BAH rate you need to turn in a copy of your marriage certificate to FM.
Follow this link to determine your gross pay amount: Military Pay Calculator | Military.com	Follow this link to determine your gross pay amount: Military Pay Calculator | Military.com
Proper GTC (government travel card) use.	NO. You can only get reimbursed for expenses on your travel authorization. If an expense is on someone else's travel authorization, then only they can get reimbursed and they should pay using their GTC.
What signatures are accepted on documents submitted to Finance?	"Digitally signed documents that are printed may not be used for official
 purposes. Financial documents must be digitally signed by a CAC (not printed) or wet signed.
 
 
 AFMAN 65-101
 1.4. Signature Acceptance.
 1.4.1. Wet Signature Acceptance.
 1.4.1.1. Wet signatures are acceptable on any printed document.
 1.4.1.2. Documents may be submitted with “wet” signatures or digital signatures.
 
 1.4.1.3. It is not permissible to have a mixture of wet and digital signatures on any
 document.
 1.4.1.4. All documents must be legible.
 1.4.1.5. Documents may be prepared in ink or using a computer.
 1.4.1.6. Corrections may be made with “pen and ink”. Draw a single line through the
 incorrect entry and initial; do not obliterate the original entry.
 1.4.1.7. White out or corrective tape will not be used.
 1.4.2. Electronic Signature Acceptance.
 1.4.2.1. An electronic signature is acceptable on any digitally signed document.
 1.4.2.2. Financial documents with the typed word “//SIGNED//” will not be accepted as
 a valid certified or approved document.
 1.4.2.3. All financial documents must be signed using a DoD Public Key Infrastructure
 (PKI) CAC certificate utilizing one of the Air Force approved digital signature
 applications, or manually signed with a written “pen and ink” signature as proper
 methods of authentication as defined in AFI 33-321, Authentication of Air Force
 Records.
 1.4.2.4. Digitally signed documents that are printed may not be used for official
 purposes."
When a ticket is created, Finance may have to return it to the customer for more information. It is imperative that the case is sent back to Finance as instructed.	A traditional member has until the Monday after the next Drill to reply and Full-Time members (Technician/AGR) have 7 calendar days. Without a response, the case will be resolved without action. If the member requires action, a new case will need to be opened.
When a ticket is created, Finance may have to return it to the customer for more information. It is imperative that the case is sent back to Finance as instructed.	A traditional member has until the Monday after the next Drill to reply and Full-Time members (Technician/AGR) have 7 calendar days. Without a response, the case will be resolved without action. If the member requires action, a new case will need to be opened.
When do I need to complete BAH Form 594 to certify my dependency status?	Whenever your dependency status changes. If you become a parent, are newly married, become divorced, or are widowed then you need to fill out a 594 and provide supporting documentation.
I moved. What do I do now?	You need to go to FSS and update your address in DEERS. This is most important since you BAH Address that is on your military orders from AROWS is pulled from DEERS. You also need to update your address in myPay, DTS, Citi, TSP, and vMPF. If you are changing states you will also need to fill out DD2058 to adjust state taxes.
I moved and need to update my address.	"1. You need to update your address in MyPay, TSP, and DTS
 2. To update in MyPay:Please submit a CSP ticket with AF594, AF1745 and Proof of Primary Residence (AF1745 and Proof of Primary Residence Memo with acceptable forms of proof are linked to this questions)We only have access to change it in MyPay, no other systems
 3. To update in DTS, log into DTS and change it there
 4. To update in TSP, log into TSP.gov and change it there
 5. Make sure you reach out to Personnel and ask what you need to do to change it in there systems.***"
Guidance on whether or not you are allowed to take leave if on TDY. See attached document for more thorough explanation and references.	"You must be in a leave status to receive reimbursement for round trip travel for a TDY.
 
 
 Active Guard/Reserve (AGR):
 DTS – book entire airfare with the TMC
 -The itinerary needs to include all dates (leave & official travel)
 -Ensure leave is selected on the per diem tab
 -Add 988 to voucher
 Reimbursement – full airfare
 
 Technicians (T5 & T32): When traveling on O&M LOA
 DTS – book entire airfare with the TMC
 -The itinerary needs to include all dates (leave & official travel)
 -Ensure leave is selected on the per diem tab
 -Add leave slip to voucher
 Reimbursement – full airfare
 
 Duty Status Guardsman (DSG) & Technicians in AT/ST status:
 Note: DSGs on long tour orders with a leave balance can use leave like an AGR within DTS.
 DTS – book one-way with the TMC & personal one-way outside DTS
 -The itinerary needs to include only official travel dates.
 -Add a note in “comments to approving official” of their personal travel.
 Reimbursement – the one-way ticket while on official travel"
Leave options for a death in a technician's family.	"No, technicians do not get bereavement leave. However, technicians may use up to 104 hours of sick leave a year in the bereavement of a family member. At no time can a technician use more leave than they have available. This may include the need for travel or dealing with appointments and business in associated with handling the estate of the deceased.
 
 
 When submitting a leave request through ATAAPS:
 -Type Hours: ""LS - Sick""
 -Purpose: ""DE - Family Care/Bereavement""
 -Remarks: write an explanation if you think the request needs clarification for your supervisor to approve
 
 
 References:
 MNGR 690-990-2, Leave and Hours of Duty, 5-5.b."
MPA/RPA/ADOS/Activation Mobilization orders 30 days or longer	"*IMPORTANT! YOU MUST ENSURE BLOCKS 36-44 OF THE AF FORM 938 ARE COMPLETED BY YOU AND YOUR SUPERVISOR IN THEIR ENTIRETY BEFORE SUBMITTING*
 
 
 Select ""Create Inquiry""
 
 
 Select “For Self” (info auto-populates) or “For Other”(creating inquiry for someone else, must have their info)
 
 Enter Subject Info (“Start Pay Order”)
 
 Category is “Military Pay”
 
 Sub Category is “Pre-Certified Order”
 
 
 Write in “Description” box. Give details of inquiry or any additional pertinent information we should know.
 
 Attach or Drag File to upload box
 
 
 
 Select “Submit” in upper right or bottom right."
How long does it take to process a Separation or Retirement inquiry? What is the process?	"TLR, 
 
 
 Due to manning impacts there will be a 5-7 business day turn around for completion of inquiries involving Retirement or Separation processing. Please complete the attached package prior to CSP inquiry submission to ensure that your inquiry is processed within a timely manner. Thank you.
 
 
 V/r, 
 
 
 Financial Operations Flight"
Your inquiry was closed but it was not fully resolved.	"You have 35 days to reopen a completed inquiry before the system will auto close it permanently.
 
 
 If your inquiry was closed without being fully completed, you can reopen the same inquiry without creating a new one. This will prevent you from having to start at the bottom of the list due to creating a new inquiry.
 
 
 Select the inquiry and select ""Reopen"" option in the upper right options."
DTS checklist updated Nov 2022.	DTS checklist for traveler assistance.
DTMO Valid receipt guidance.	What is a valid receipt guidance from DTMO.
What information is required for reimbursement of expenses?	"Itemized receipts are required for all lodging and any single purchase of $75 or more. (JTR par. 030301-A)
 
 
 Attached document Provides additional information for what qualifies as a ""valid"" receipt for reimbursement purposes."
What forms and who do I send those forms to in order to get access to DTS? What training do I need?	Look under Policy Memos & Guidelines to find your instructions.
I got a new bank account and want to update it for pay.	"1. You need to update your direct deposit in MyPay and DTS
 2. To update in MyPay, you need to change it in MyPayIf you can't change it in MyPay, please submit a CSP ticket with direct deposit form.We only have access to change it in MyPay, no other systems
 3. To update in DTS, log into DTS and change it there
 4. Do NOT close your old bank account until you see the direct deposit in your new bank account.***"
I just got married/had a child/had another child/got a divorce.	"1. Complete form 594. 
 2. Obtain proof of dependency documents, i.e. Marriage certificate, birth certificate, divorce decree (If claiming secondary dependents, please review: https://www.dfas.mil/MilitaryMembers/SecondaryDependency/secondarydependency_AirForce/)
 3. Upload 594 and proof into CSP
 4. Remember, with dependent pay will not start until the date the 594 is signed. No back pay will be given if you turn in your documents late. 
 5. Divorce: You will incur a debt if any overpayment was given. No dependency rate will start day divorce decree became effective. 
 5. Contact Personnel to know what to update with them."
Air BnB guidance	See attached memo concerning usable and reimbursement of Air BnB for lodging.
"Timekeepers Role
 
 - coordinate with certifiers ensuring all timecards are certified minimally by the Wednesday during week 2 of a pay period
 
 - ensure all compensatory time is claimed on the time card and must have acorrelating premium request approved
 
 - adjust timecards
 
 - CANNOT submit leave requests
 
 - CANNOT concur your timecard
 
 - CANNOT approve/disapprove leave"	"Requirements for ATAAPS Timekeeper:
 
 
 1. DD2875
 
 -Completed with all 3 signatures. Which team(s) will you need access to as a Timekeeper? Must annotate in block 13.
 
 2. Annual Timekeeper training certificate
 -Digitally sign and submit certificate of completion ONLY the last page
 
 3. NGB Required training
 
 -Digitally sign and submit certificate of completion ONLY the last page
 
 4. Annual Specialized PII Training Requirements
 
 https://dl.cyber.mil/trn/online/disa_pii_v40_final_web/launch.html"
"Certifiers Role
 - ensure all timecards for their assigned employees are approved on accurately and on time
 - ensure all compensatory time claimed must be documented on 'Premium Leave request'
 - CANNOT adjust employee timecards
 - approve/disapprove leave requests- capable of viewing leave balances of employees on their assigned teams"	"Requirements for ATAAPS Certifier:
 1. DD2875
  -Completed with all 3 signatures. Block 13 must include which team(s) requesting access to
 2. Annual Certifier Training
 Only upload the last digitally signed page
 
 3. NGB Required 20.01 Certifier Training
 Only upload the last digitally signed page
 
 4. DAO 101 Training 
 https://fams.cce.af.mil/pub/content/saffm/notice.html?u=https%3A%2F%2Ffams.cce.af.mil%2F
 5. DD577
 
  -I will initiate the request in FAMS and you will receive an email with instructions. The FAMS email must route to your @us.af.mil account.
 6. Annual Specialized PII Training Requirements
  https://dl.cyber.mil/trn/online/disa_pii_v40_final_web/launch.html"
Long tour order Pre-certification	Please see the attached training template on how to properly complete a Pre-cert.
Closeout for orders 30 days or more.	Please see the attached Closeout template with instructions on how to properly closeout an order that is 30 days or more.
What is required to become a Unit APC?	"When you appoint a new APC in your unit we need the following:
 
 1. Updated APC appointment letter
 2. GTS Statement of Understanding for new APC
 3. Unit APC training certificate (attached)
 4. Programs & Policies – Travel Card Program Management (APC Course (Course is in TRAX))
 
 When we have all 4 documents we will save them and create the APC profile for member."
Training for DTS is done on TRAX.	AO checklist from DTMO.
Questions relating to military pay, travel pay, civilian pay, or paying agent functions	"the 628th CPTS Customer Service team can be contacted in three ways:
 1) Virtually here on CSP. Responses given within 3 business days
 2) In-person at the Finance Office (Bldg 322, 3rd Floor) Monday - Thursday 0900-1500
 3) Via phone at 843-963-BUCK (2825) Monday - Thursday 0900-1500"
"Please read the attached memo to understand how to get the maximum amount of BAH 1 when on B2B short tour orders.
 
 
 
 Short Tour = 30 Days or Less 
 
 
 Short Tour orders are typically entitled to BAH II UNLESS they are B2B with another order that now makes it 31 consecutive days. 
 
 
 If you are on orders for 31 consecutive days, you maybe entitled to BAH I. There are different circumstances that can affect your BAH I start date so, read the memorandum to know more. 
 
 
 Example: Order 1: 29 Days - 01-29 October + Order 2: 2 Days - 30-31 October = On Orders for 31 Consecutive Days 
 
 
 If you do have short tour orders that maybe entitled to BAH I:DO NOT E-CERTIFY THESE ORDERS. YOU WILL CAUSE A PAY ISSUEWet sign/complete the statement of duty page (found on the INITIAL order, not on the modifications)Create a CSP inquiry, and upload the complete orders plus any modificationsAllow up to 3-5 business days to get a responseMonitor your CSP inquiry for any actions and to ensure your orders are taken care of."	"If you're short tour orders are back-to-back:
 
 
 1. Complete the statement of duty page attached to the initial order. ENSURE IT IS COMPLETED ENTIRELY.
 2. Upload the orders with the page and any modifications into a CSP Inquiry
 3. Advise in CSP description that you are turning in orders that are B2B and entitled to BAH I"
Finance reports (updated before every drill) can be found on our SharePoint under Squadron Reports.	"Use the Finance Report guide!
 
 
 Check to see if you find your name on these reports. If you do, make sure you get your name off it while you are performing drill. Being on these reports will lead pay issues/delays, document processing delays, suspension of GTCs, and more. 
 
 
 If you are a supervisor, first sergeant, commander, or ODTA, please make sure to let your people know and spread the word. 
 
 
 Find Reports Here --> https://usaf.dps.mil/sites/14034/HQ/CPTF/Squadron%20Reports/Forms/AllItems.aspx"
Short tour orders are 30 days or less. Long tour orders are 31 day or more.	No. Your 30 day order is considered a short tour order. All short tour orders must be signed in AROWS by the member and are processed for pay at the completion of the order.
I am on a short tour order that is entitled to BAH I. What do I need to do to get paid/receive BAH I?	"E-Certify your orders in AROWS. Follow the attached guide and track your orders for pay. Use the memorandum to know when you are entitled to get BAH I on a short-tour order.
 
 
 Once you and all parties e-certify your orders, you will show up on our back-to-back order report where we will then ensure you receive BAH Type I. Review the attached memorandum to understand when BAH Type I begins for back-to-back short tour orders. This report will be generated and reviewed on days LES' are generated. 
 
 
 Please note:
 Short Tour Orders (30 cal days or less) are available to e-certify on the LAST day of the order. Review memo to know when the order gets BAH I.
 
 
 Long Tour Orders (31 cal days or more) are available to e-certify on the FIRST day of the order. Automatically gets BAH I."
I want to take leave.	"FOLLOW NEW LEAVE PROCESS.
 
 
 1. Download AF988 from E-Pubs
 2. Complete AF988, ensure all boxes are complete and that it is signed by you and your supervisor.
 3. Upload AF988 into a CSP Inquiry - Military Pay - Leave Request Number
 4. Track your own leave.
 5. Take Leave
 6. Submit AF988 PART III after leave is complete. If you cancel or change your leave, you can put this in SECTION III
 
 
 AF988 PART I - Submit to finance for Leave Auth Number
 AF988 PART II - Your copy. TRACK YOUR LEAVE
 AF988 PART III - Submit to finance when you return from leave. COMPLETE SECTION III."
Carry Forward/Sell/Both Process	"FOLLOW LEAVE PROCESS GUIDE.
 
 
 1. Ensure you have turned in all AF988 Part IIIs from previously requested leave. Reports are on the 106 SharePoint. If you are on our report, you owe us an AF988 Part III. 
 2. Complete AF1089. Use the one provided NOT e-pubs. 
 3.Complete Leave SOU memorandum. (only if you want to carry forward previously earned leave)
 3. Submit 1089 and SOU via CSP. 
 
 
 Note: If PART IIIs are owed, your 1089 will NOT be processed. 
 
 
 1089 are to be submitted at the end of every long tour (31+ day) order. This is to let us know your orders have ended and you want to either keep or sell the left over days you've earned."
Please note: SGLI is a program managed by FSS. Contact them for any additional questions regarding SGLI or MilConnect.	You can update your SGLI/SSLI/FSGLI contributions in MilConnect.
"For more information on TSP, go to TSP.gov 
 Check out the webinars they have to offer to learn how you can maximize your contributions."	"1. Log Into MyPay
 2. Click TSP
 3. Update your percentages. 
 4. Allow up to one month for it to update."
There are many reasons you may have a debt. Here are a few.	"1. Check the remarks section on your LES. The date range is what you've been debted for. It will say what the debt is for typically right next to it. 
 
 If you did not get paid the month prior, the debt maybe simply for SGLI that is owed.If your orders were modified AFTER you got paid, you will receive a debt. If you e-certified orders that were then CANCELLED, you will receive a debt. If you were accidentally paid for drill, but you were on another order...you will receive a debt. If you were overpaid a bonus that was then terminated...you will receive a debt.If you took more leave than you had...you will receive a debt. If you were overpaid an entitlement that you are not entitled to (SDAP, BASIP, etc.) you will receive a debt.
 2. Open CSP inquiry with a copy of your LES with the debt you have questions on if you need more information."
"Check out if your zip code is entitled to COLA. COLA rates are updated by DFAS every calendar year.
 
 
 Read more about CONUS COLA: https://www.travel.dod.mil/Support/ALL-FAQs/Article/2906562/conus-cost-of-living-allowance/
 
 
 NOTE:
 BMT/TECH SCHOOL/PIPLINE - NOT AUTHORIZED COLA
 
 
 o Orders over 140 days use your HOR zip code.
 o PCS Orders use PCS location zip code.
 o Temp AGR over 180 days use base zip code.
 
 o Perm AGR use base zip code."	"You maybe entitled to COLA for the following reasons: In-Support of Contingency Order (based on HOR zip code)Orders are over 140+ days 
 
 
 Check the CONUS Calculator to know: https://www.travel.dod.mil/Allowances/Basic-Allowance-for-Housing/BAH-Rate-Lookup/
 
 
 Read about the 2023 CONUS COLA Changes: https://www.defense.gov/News/Releases/Release/Article/3254346/2023-conus-cola-rates/"
N/A	See slides.
Why is the M&IE portion of per-diem reduced for annual training?	"JTR 032302 A:
 3. An RC member listed below when both Government quarters, other than temporary lodging facilities, and a Government dining facility are available. a. An RC member performing annual training (AT). In this case the training location is the PDS, and no per diem is payable. Per diem is payable for TDY away from the annual training location or for travel to and from the annual training location if not in a commuting status. b. An RC member ordered to involuntary ADT because of unsatisfactory participation in the reserve commitment.c. An RC member newly enlisted and attending courses with a break in active duty between courses."
inprocessing	Yes to all the above, we need anyone and everyone coming to 310 SW RPO as a TR to inprocess. Please complete the attached required documents.
ATAAPS leave error...	"First, open your labor screen in ATAAPS and the pay period you are wanting to take leave. MAKE SURE THE DAYS AND HOURS MATCH UP WITH THE WING CALENDAR.
 
 
 *This is the primary reason the error shown above appears; when the hours don't line up in the labor screen, and the technician enters the hours based on the Wing calendar, the system alerts you to the fact that the hours don't match.
 
 
 Second, you are sometimes able to clear an error in the Leave Request screen by changing your 'From Time' and 'To Time' to even numbered hours.
 
 
 
 Third, ensure all fields with a red asterisk in the leave request are populated. 
 
 
 
 If you have tried these options and are still getting errors, contact the Finance office and ask for the technician pay CSR."
Member was charged for night of lodging for missing 40A.	"Be aware that when booking lodging for reschedules you or your unit must provide the 40A to lodging front desk at time of check-in to ensure the direct billing to unit occurs.
 
 To make sure FM has everything needed to complete a reimbursement make sure the following is attached to your CSP ticket.
 Signed 40AMFR with date you used ALRS to book your stay and explanation as to why 40A(s) were not provided to front desk, with your signature along with your supervisor and/or 1st Sgt.SF1034 - https://www.gsa.gov/Forms/TrackForm/32752Paid in full lodging receiptSF1199A (Direct Deposit Form) - https://www.irs.gov/pub/irs-utl/sf-1199-a_dirdeposit.pdf
 
 
 
 Please keep in mind that when payment is processed that it will pay to you directly and will not pay your GTC if you used it. GTC will be individual responsibility to pay"
